guest,sampled_frames,seconds
陈凯琳,2440,390.4
范玮琪,2337,373.9
徐洁儿,2061,329.8
何宣林,2055,328.8
黄灿灿,1860,297.6
阚清子,1841,294.6
张月,1766,282.6
安崎,1387,221.9
孙怡,1234,197.4
李心洁,1227,196.3
曾佩慈,1213,194.1
叶一茜,992,158.7
江语晨,921,147.4
陈瑶,822,131.5
淡淡,727,116.3
李小冉,612,97.9
徐梦洁,521,83.4
温峥嵘,464,74.2
庄法,420,67.2
代斯,419,67.0
王濛,379,60.6
唐艺昕,331,53.0
乌兰图雅,294,47.0
萧蔷,39,6.2
万千惠,0,0.0
张慧雯,0,0.0
谢楠,0,0.0
