guest,segment,start_hms,end_hms,duration_s,start_sec,end_sec
徐洁儿,1,00:00:29.0,00:00:30.2,1.3,28.96,30.24
李小冉,1,00:00:29.0,00:00:31.5,2.6,28.96,31.52
徐洁儿,2,00:00:30.7,00:00:31.5,0.8,30.72,31.52
阚清子,1,00:00:30.7,00:00:31.2,0.5,30.72,31.2
范玮琪,1,00:00:38.9,00:00:40.0,1.1,38.88,40.0
张月,1,00:00:40.0,00:00:41.9,1.9,40.0,41.92
李心洁,1,00:00:41.9,00:00:47.5,5.6,41.92,47.52
谢楠,1,00:00:41.9,00:00:47.5,5.6,41.92,47.52
黄灿灿,1,00:00:49.6,00:00:53.9,4.3,49.6,53.92
张月,2,00:00:53.9,00:00:54.4,0.5,53.92,54.4
陈瑶,1,00:00:53.9,00:01:01.6,7.7,53.92,61.6
张月,3,00:00:54.9,00:01:01.6,6.7,54.88,61.6
徐洁儿,3,00:01:03.7,00:01:10.9,7.2,63.68,70.88
李心洁,2,00:01:11.4,00:01:14.6,3.2,71.36,74.56
唐艺昕,1,00:01:14.6,00:01:20.0,5.4,74.56,80.0
淡淡,1,00:01:14.6,00:01:18.4,3.8,74.56,78.4
陈凯琳,1,00:01:18.4,00:01:20.0,1.6,78.4,80.0
徐洁儿,4,00:02:01.3,00:02:02.6,1.3,121.28,122.56
李小冉,2,00:02:01.3,00:02:04.6,3.4,121.28,124.64
徐洁儿,5,00:02:03.0,00:02:05.6,2.6,123.04,125.6
阚清子,2,00:02:03.0,00:02:05.1,2.1,123.04,125.12
李小冉,3,00:02:05.9,00:02:06.2,0.3,125.92,126.24
李小冉,4,00:02:06.4,00:02:07.5,1.1,126.4,127.52
谢楠,2,00:02:06.4,00:02:07.5,1.1,126.4,127.52
徐梦洁,1,00:02:06.6,00:02:10.4,3.8,126.56,130.4
阚清子,3,00:02:07.5,00:02:09.8,2.2,127.52,129.76
李小冉,5,00:02:09.1,00:02:10.4,1.3,129.12,130.4
谢楠,3,00:02:09.1,00:02:10.4,1.3,129.12,130.4
徐洁儿,6,00:02:15.0,00:02:22.2,7.2,135.04,142.24
李心洁,3,00:02:15.0,00:02:25.4,10.4,135.04,145.44
徐梦洁,2,00:02:16.0,00:02:17.1,1.1,136.0,137.12
徐梦洁,3,00:02:17.3,00:02:18.1,0.8,137.28,138.08
阚清子,4,00:02:17.4,00:02:20.2,2.7,137.44,140.16
谢楠,4,00:02:17.6,00:02:21.0,3.4,137.6,140.96
徐梦洁,4,00:02:18.2,00:02:20.5,2.2,138.24,140.48
徐梦洁,5,00:02:25.4,00:02:26.9,1.4,145.44,146.88
徐洁儿,7,00:02:25.4,00:02:30.7,5.3,145.44,150.72
李小冉,6,00:02:28.3,00:02:28.8,0.5,148.32,148.8
阚清子,5,00:02:28.5,00:02:30.4,1.9,148.48,150.4
李小冉,7,00:02:29.0,00:02:29.1,0.2,148.96,149.12
李心洁,4,00:02:31.5,00:02:36.2,4.6,151.52,156.16
徐梦洁,6,00:02:34.6,00:02:36.2,1.6,154.56,156.16
李心洁,5,00:02:42.4,00:02:45.0,2.6,162.4,164.96
谢楠,5,00:02:42.4,00:02:45.0,2.6,162.4,164.96
徐洁儿,8,00:02:45.0,00:02:47.0,2.1,164.96,167.04
李小冉,8,00:02:47.2,00:02:47.5,0.3,167.2,167.52
徐洁儿,9,00:02:49.1,00:02:58.6,9.4,169.12,178.56
谢楠,6,00:02:49.1,00:02:57.9,8.8,169.12,177.92
谢楠,7,00:02:58.1,00:02:59.7,1.6,178.08,179.68
徐梦洁,7,00:02:58.2,00:02:59.7,1.4,178.24,179.68
徐梦洁,8,00:03:00.0,00:03:00.5,0.5,180.0,180.48
谢楠,8,00:03:00.0,00:03:01.6,1.6,180.0,181.6
徐梦洁,9,00:03:00.6,00:03:02.4,1.8,180.64,182.4
徐洁儿,10,00:03:07.0,00:03:11.4,4.3,187.04,191.36
阚清子,6,00:03:11.5,00:03:11.7,0.2,191.52,191.68
徐洁儿,11,00:03:14.9,00:03:16.6,1.8,194.88,196.64
李小冉,9,00:03:17.9,00:03:18.7,0.8,197.92,198.72
徐洁儿,12,00:03:18.2,00:03:20.0,1.8,198.24,200.0
李小冉,10,00:03:20.0,00:03:22.7,2.7,200.0,202.72
徐洁儿,13,00:03:22.4,00:03:22.9,0.5,202.4,202.88
徐洁儿,14,00:03:23.4,00:03:24.3,1.0,203.36,204.32
万千惠,1,00:03:24.3,00:03:29.1,4.8,204.32,209.12
代斯,1,00:03:25.8,00:03:33.1,7.4,205.76,213.12
张月,4,00:03:27.0,00:03:43.4,16.3,207.04,223.36
乌兰图雅,1,00:03:28.2,00:03:28.6,0.5,208.16,208.64
乌兰图雅,2,00:03:31.7,00:03:34.2,2.6,211.68,214.24
代斯,2,00:03:34.7,00:03:38.6,3.8,214.72,218.56
乌兰图雅,3,00:03:35.2,00:03:36.0,0.8,215.2,216.0
万千惠,2,00:03:38.6,00:03:46.4,7.8,218.56,226.4
乌兰图雅,4,00:03:38.6,00:03:43.4,4.8,218.56,223.36
代斯,3,00:03:44.5,00:03:45.3,0.8,224.48,225.28
代斯,4,00:03:45.8,00:03:48.2,2.4,225.76,228.16
代斯,5,00:03:52.6,00:03:53.1,0.5,232.64,233.12
代斯,6,00:03:53.9,00:03:54.2,0.3,233.92,234.24
代斯,7,00:03:57.3,00:03:59.4,2.1,237.28,239.36
何宣林,1,00:04:10.6,00:04:13.4,2.9,250.56,253.44
陈凯琳,2,00:04:12.8,00:04:17.3,4.5,252.8,257.28
淡淡,2,00:04:13.3,00:04:13.4,0.2,253.28,253.44
淡淡,3,00:04:13.6,00:04:16.2,2.6,253.6,256.16
唐艺昕,2,00:04:14.2,00:04:15.2,1.0,254.24,255.2
唐艺昕,3,00:04:15.5,00:04:17.3,1.8,255.52,257.28
淡淡,4,00:04:16.5,00:04:16.6,0.2,256.48,256.64
淡淡,5,00:04:17.0,00:04:25.9,9.0,256.96,265.92
唐艺昕,4,00:04:18.2,00:04:26.9,8.6,258.24,266.88
何宣林,2,00:04:18.7,00:04:26.6,7.8,258.72,266.56
陈凯琳,3,00:04:18.7,00:04:24.6,5.9,258.72,264.64
何宣林,3,00:04:26.7,00:04:35.5,8.8,266.72,275.52
淡淡,6,00:04:26.9,00:04:29.9,3.0,266.88,269.92
陈凯琳,4,00:04:29.9,00:04:35.5,5.6,269.92,275.52
曾佩慈,1,00:04:41.1,00:04:44.0,2.9,281.12,284.0
黄灿灿,2,00:04:41.1,00:04:45.9,4.8,281.12,285.92
曾佩慈,2,00:04:44.6,00:04:46.2,1.6,284.64,286.24
黄灿灿,3,00:04:46.2,00:04:49.6,3.4,286.24,289.6
曾佩慈,3,00:04:47.8,00:04:51.4,3.5,287.84,291.36
陈凯琳,5,00:04:49.1,00:04:51.4,2.2,289.12,291.36
曾佩慈,4,00:04:58.1,00:05:01.0,2.9,298.08,300.96
黄灿灿,4,00:04:58.1,00:05:02.6,4.5,298.08,302.56
黄灿灿,5,00:05:02.7,00:05:06.9,4.2,302.72,306.88
曾佩慈,5,00:05:02.9,00:05:05.1,2.2,302.88,305.12
陈凯琳,6,00:05:07.0,00:05:09.1,2.1,307.04,309.12
范玮琪,2,00:05:16.8,00:05:19.4,2.6,316.8,319.36
叶一茜,1,00:05:18.4,00:05:21.1,2.7,318.4,321.12
江语晨,1,00:05:19.4,00:05:19.5,0.2,319.36,319.52
江语晨,2,00:05:19.7,00:05:21.1,1.4,319.68,321.12
范玮琪,3,00:05:22.1,00:05:25.1,3.0,322.08,325.12
温峥嵘,1,00:05:32.5,00:05:36.3,3.8,332.48,336.32
