guest,segment,start_hms,end_hms,duration_s,start_sec,end_sec
何宣林,1,00:00:54.1,00:01:04.0,9.9,54.08,64.0
江语晨,1,00:00:54.1,00:00:57.3,3.2,54.08,57.28
范玮琪,1,00:00:54.1,00:00:56.5,2.4,54.08,56.48
阚清子,1,00:00:54.1,00:02:53.6,119.5,54.08,173.6
何宣林,2,00:01:10.4,00:01:15.2,4.8,70.4,75.2
江语晨,2,00:01:10.4,00:01:14.9,4.5,70.4,74.88
范玮琪,2,00:01:11.0,00:01:13.4,2.4,71.04,73.44
何宣林,3,00:01:21.8,00:01:27.8,6.1,81.76,87.84
江语晨,3,00:01:21.8,00:01:25.0,3.2,81.76,84.96
江语晨,4,00:01:25.3,00:01:27.8,2.6,85.28,87.84
何宣林,4,00:01:32.0,00:01:39.0,7.0,92.0,99.04
江语晨,5,00:01:32.0,00:01:39.0,7.0,92.0,99.04
范玮琪,3,00:01:32.0,00:01:39.0,7.0,92.0,99.04
何宣林,5,00:01:44.2,00:01:50.6,6.4,104.16,110.56
江语晨,6,00:01:44.2,00:01:50.6,6.4,104.16,110.56
范玮琪,4,00:01:44.2,00:01:50.6,6.4,104.16,110.56
何宣林,6,00:01:59.2,00:02:04.3,5.1,119.2,124.32
江语晨,7,00:01:59.2,00:02:05.3,6.1,119.2,125.28
何宣林,7,00:02:18.9,00:02:26.4,7.5,138.88,146.4
江语晨,8,00:02:18.9,00:02:26.4,7.5,138.88,146.4
何宣林,8,00:02:42.6,00:02:49.6,7.0,162.56,169.6
江语晨,9,00:02:42.6,00:02:49.6,7.0,162.56,169.6
范玮琪,5,00:02:42.6,00:02:49.6,7.0,162.56,169.6
何宣林,9,00:02:51.7,00:02:56.5,4.8,171.68,176.48
江语晨,10,00:02:51.7,00:02:56.5,4.8,171.68,176.48
范玮琪,6,00:02:51.7,00:02:56.5,4.8,171.68,176.48
阚清子,2,00:02:54.1,00:02:59.7,5.6,174.08,179.68
孙怡,1,00:03:00.0,00:03:07.2,7.2,180.0,187.2
江语晨,11,00:03:00.0,00:03:07.2,7.2,180.0,187.2
何宣林,10,00:03:07.2,00:03:14.4,7.2,187.2,194.4
阚清子,3,00:03:07.2,00:03:14.4,7.2,187.2,194.4
孙怡,2,00:03:12.5,00:04:01.8,49.3,192.48,241.76
江语晨,12,00:03:12.5,00:03:14.4,1.9,192.48,194.4
范玮琪,7,00:03:12.5,00:03:14.4,1.9,192.48,194.4
何宣林,11,00:03:21.3,00:03:27.0,5.8,201.28,207.04
江语晨,13,00:03:21.3,00:03:27.0,5.8,201.28,207.04
范玮琪,8,00:03:21.3,00:03:27.0,5.8,201.28,207.04
阚清子,4,00:03:21.3,00:03:27.0,5.8,201.28,207.04
何宣林,12,00:03:29.8,00:03:34.6,4.8,209.76,214.56
江语晨,14,00:03:29.8,00:03:34.6,4.8,209.76,214.56
范玮琪,9,00:03:29.8,00:03:34.6,4.8,209.76,214.56
阚清子,5,00:03:29.8,00:03:34.6,4.8,209.76,214.56
江语晨,15,00:03:43.7,00:03:49.1,5.4,223.68,229.12
范玮琪,10,00:03:43.7,00:03:49.1,5.4,223.68,229.12
阚清子,6,00:03:43.7,00:03:49.1,5.4,223.68,229.12
何宣林,13,00:03:57.9,00:04:01.8,3.8,237.92,241.76
江语晨,16,00:03:57.9,00:04:01.8,3.8,237.92,241.76
范玮琪,11,00:03:57.9,00:04:01.8,3.8,237.92,241.76
阚清子,7,00:03:57.9,00:04:01.8,3.8,237.92,241.76
孙怡,3,00:04:07.0,00:04:19.4,12.3,247.04,259.36
阚清子,8,00:04:07.0,00:04:19.4,12.3,247.04,259.36
何宣林,14,00:04:13.4,00:04:23.5,10.1,253.44,263.52
江语晨,17,00:04:13.4,00:04:13.6,0.2,253.44,253.6
范玮琪,12,00:04:13.4,00:04:19.4,5.9,253.44,259.36
江语晨,18,00:04:13.8,00:04:19.4,5.6,253.76,259.36
江语晨,19,00:04:23.5,00:04:27.7,4.2,263.52,267.68
孙怡,4,00:04:27.7,00:04:35.8,8.2,267.68,275.84
范玮琪,13,00:04:27.7,00:04:35.8,8.2,267.68,275.84
何宣林,15,00:04:32.0,00:04:35.8,3.8,272.0,275.84
江语晨,20,00:04:32.0,00:05:02.9,30.9,272.0,302.88
阚清子,9,00:04:32.0,00:04:35.8,3.8,272.0,275.84
何宣林,16,00:04:39.2,00:04:42.1,2.9,279.2,282.08
孙怡,5,00:04:39.2,00:04:42.1,2.9,279.2,282.08
范玮琪,14,00:04:39.2,00:04:42.1,2.9,279.2,282.08
阚清子,10,00:04:39.2,00:04:42.1,2.9,279.2,282.08
何宣林,17,00:04:45.3,00:04:48.3,3.0,285.28,288.32
孙怡,6,00:04:45.3,00:04:48.3,3.0,285.28,288.32
范玮琪,15,00:04:45.3,00:04:46.9,1.6,285.28,286.88
阚清子,11,00:04:45.3,00:04:48.3,3.0,285.28,288.32
范玮琪,16,00:04:47.0,00:04:48.3,1.3,287.04,288.32
何宣林,18,00:04:58.1,00:05:02.9,4.8,298.08,302.88
孙怡,7,00:04:58.1,00:05:05.6,7.5,298.08,305.6
阚清子,12,00:04:58.6,00:05:02.9,4.3,298.56,302.88
阚清子,13,00:05:05.6,00:05:12.3,6.7,305.6,312.32
何宣林,19,00:05:08.2,00:05:34.6,26.4,308.16,334.56
孙怡,8,00:05:08.2,00:05:12.3,4.2,308.16,312.32
江语晨,21,00:05:08.2,00:05:12.3,4.2,308.16,312.32
孙怡,9,00:05:18.6,00:05:24.8,6.2,318.56,324.8
江语晨,22,00:05:18.6,00:05:24.8,6.2,318.56,324.8
阚清子,14,00:05:18.6,00:05:24.8,6.2,318.56,324.8
孙怡,10,00:05:29.1,00:05:34.6,5.4,329.12,334.56
江语晨,23,00:05:29.1,00:05:34.6,5.4,329.12,334.56
阚清子,15,00:05:29.1,00:05:34.6,5.4,329.12,334.56
孙怡,11,00:05:42.1,00:05:56.8,14.7,342.08,356.8
阚清子,16,00:05:42.1,00:05:56.8,14.7,342.08,356.8
何宣林,20,00:05:54.2,00:05:56.8,2.6,354.24,356.8
江语晨,24,00:05:54.2,00:05:56.8,2.6,354.24,356.8
范玮琪,17,00:05:54.2,00:06:00.8,6.6,354.24,360.8
江语晨,25,00:06:00.8,00:06:05.3,4.5,360.8,365.28
何宣林,21,00:06:05.3,00:06:13.0,7.7,365.28,372.96
孙怡,12,00:06:09.8,00:06:13.0,3.2,369.76,372.96
江语晨,26,00:06:09.8,00:06:13.0,3.2,369.76,372.96
范玮琪,18,00:06:09.8,00:06:13.0,3.2,369.76,372.96
阚清子,17,00:06:09.8,00:06:21.4,11.7,369.76,381.44
何宣林,22,00:06:16.0,00:06:21.4,5.4,376.0,381.44
孙怡,13,00:06:16.0,00:06:20.2,4.2,376.0,380.16
江语晨,27,00:06:16.0,00:06:21.4,5.4,376.0,381.44
范玮琪,19,00:06:16.0,00:06:21.4,5.4,376.0,381.44
孙怡,14,00:06:20.5,00:06:25.3,4.8,380.48,385.28
阚清子,18,00:06:25.3,00:06:37.4,12.2,385.28,397.44
何宣林,23,00:06:31.7,00:06:45.6,13.9,391.68,405.6
孙怡,15,00:06:31.7,00:06:37.4,5.8,391.68,397.44
江语晨,28,00:06:31.7,00:06:37.4,5.8,391.68,397.44
范玮琪,20,00:06:31.7,00:06:37.4,5.8,391.68,397.44
范玮琪,21,00:06:45.6,00:06:52.5,6.9,405.6,412.48
阚清子,19,00:06:51.2,00:06:52.0,0.8,411.2,412.0
阚清子,20,00:06:52.5,00:06:56.2,3.7,412.48,416.16
范玮琪,22,00:06:56.2,00:07:00.0,3.8,416.16,420.0
阚清子,21,00:07:00.0,00:07:03.5,3.5,420.0,423.52
庄法,1,00:07:03.5,00:07:08.2,4.6,423.52,428.16
何宣林,24,00:07:04.6,00:07:06.7,2.1,424.64,426.72
范玮琪,23,00:07:07.0,00:07:08.2,1.1,427.04,428.16
阚清子,22,00:07:08.2,00:07:11.4,3.2,428.16,431.36
何宣林,25,00:07:11.4,00:07:13.3,1.9,431.36,433.28
阚清子,23,00:07:13.3,00:07:15.5,2.2,433.28,435.52
何宣林,26,00:07:15.5,00:07:15.8,0.3,435.52,435.84
范玮琪,24,00:07:15.5,00:07:19.7,4.2,435.52,439.68
何宣林,27,00:07:16.0,00:07:16.3,0.3,436.0,436.32
何宣林,28,00:07:16.6,00:07:17.1,0.5,436.64,437.12
何宣林,29,00:07:17.3,00:07:17.6,0.3,437.28,437.6
何宣林,30,00:07:17.9,00:07:19.7,1.8,437.92,439.68
阚清子,24,00:07:21.0,00:07:22.4,1.4,440.96,442.4
范玮琪,25,00:07:24.2,00:07:27.8,3.7,444.16,447.84
阚清子,25,00:07:27.8,00:07:31.0,3.2,447.84,451.04
范玮琪,26,00:07:28.5,00:07:29.1,0.6,448.48,449.12
范玮琪,27,00:07:31.0,00:07:35.2,4.2,451.04,455.2
阚清子,26,00:07:33.0,00:07:34.7,1.8,452.96,454.72
阚清子,27,00:07:35.4,00:07:37.4,2.1,455.36,457.44
阚清子,28,00:07:38.1,00:07:39.4,1.3,458.08,459.36
范玮琪,28,00:07:39.4,00:07:45.9,6.6,459.36,465.92
安崎,1,00:07:41.9,00:07:46.9,5.0,461.92,466.88
范玮琪,29,00:07:46.9,00:07:51.0,4.2,466.88,471.04
何宣林,31,00:07:51.0,00:07:56.0,5.0,471.04,476.0
阚清子,29,00:07:51.0,00:07:54.9,3.8,471.04,474.88
阚清子,30,00:07:55.0,00:07:55.5,0.5,475.04,475.52
阚清子,31,00:07:55.7,00:07:59.0,3.4,475.68,479.04
范玮琪,30,00:07:56.0,00:08:09.4,13.4,476.0,489.44
阚清子,32,00:07:59.2,00:07:59.4,0.2,479.2,479.36
阚清子,33,00:07:59.5,00:08:00.8,1.3,479.52,480.8
阚清子,34,00:08:01.0,00:08:01.1,0.2,480.96,481.12
