guest,segment,start_hms,end_hms,duration_s,start_sec,end_sec
江语晨,1,00:00:25.1,00:00:27.0,1.9,25.12,27.04
江语晨,2,00:00:27.7,00:00:31.2,3.5,27.68,31.2
阚清子,1,00:00:29.6,00:00:32.8,3.2,29.6,32.8
江语晨,3,00:00:31.8,00:00:32.0,0.2,31.84,32.0
江语晨,4,00:00:32.3,00:00:32.5,0.2,32.32,32.48
江语晨,5,00:00:32.6,00:00:33.1,0.5,32.64,33.12
阚清子,2,00:00:33.0,00:00:33.3,0.3,32.96,33.28
何宣林,1,00:00:33.1,00:00:33.6,0.5,33.12,33.6
李小冉,1,00:00:33.6,00:00:33.8,0.2,33.6,33.76
李小冉,2,00:00:34.1,00:00:35.4,1.3,34.08,35.36
李小冉,3,00:00:35.8,00:00:40.6,4.8,35.84,40.64
唐艺昕,1,00:00:38.2,00:00:41.8,3.5,38.24,41.76
李小冉,4,00:00:41.8,00:00:43.0,1.3,41.76,43.04
唐艺昕,2,00:00:41.9,00:00:42.1,0.2,41.92,42.08
唐艺昕,3,00:00:42.2,00:00:43.2,1.0,42.24,43.2
孙怡,1,00:00:43.2,00:00:46.7,3.5,43.2,46.72
江语晨,6,00:00:43.2,00:00:46.7,3.5,43.2,46.72
代斯,1,00:00:47.7,00:00:53.9,6.2,47.68,53.92
萧蔷,1,00:00:47.7,00:00:51.2,3.5,47.68,51.2
萧蔷,2,00:00:51.7,00:00:51.8,0.2,51.68,51.84
徐洁儿,1,00:00:53.9,00:01:05.4,11.5,53.92,65.44
陈凯琳,1,00:00:53.9,00:00:57.9,4.0,53.92,57.92
李心洁,1,00:00:56.5,00:01:06.4,9.9,56.48,66.4
叶一茜,1,00:00:57.9,00:01:06.4,8.5,57.92,66.4
安崎,1,00:00:57.9,00:01:06.4,8.5,57.92,66.4
庄法,1,00:00:57.9,00:01:05.4,7.5,57.92,65.44
黄灿灿,1,00:00:57.9,00:01:03.7,5.8,57.92,63.68
黄灿灿,2,00:01:04.2,00:01:07.7,3.5,64.16,67.68
徐洁儿,2,00:01:06.4,00:01:07.7,1.3,66.4,67.68
陈凯琳,2,00:01:06.4,00:01:07.7,1.3,66.4,67.68
叶一茜,2,00:01:07.7,00:01:11.0,3.4,67.68,71.04
庄法,2,00:01:07.7,00:01:11.0,3.4,67.68,71.04
李心洁,2,00:01:07.7,00:01:11.0,3.4,67.68,71.04
黄灿灿,3,00:01:11.0,00:01:11.8,0.8,71.04,71.84
黄灿灿,4,00:01:12.0,00:01:12.5,0.5,72.0,72.48
陈凯琳,3,00:01:13.8,00:01:15.8,2.1,73.76,75.84
徐洁儿,3,00:01:13.9,00:01:15.8,1.9,73.92,75.84
黄灿灿,5,00:01:15.8,00:01:17.1,1.3,75.84,77.12
万千惠,1,00:01:19.7,00:01:26.2,6.6,79.68,86.24
曾佩慈,1,00:01:19.7,00:01:28.0,8.3,79.68,88.0
谢楠,1,00:01:28.0,00:01:29.3,1.3,88.0,89.28
淡淡,1,00:01:29.3,00:01:36.5,7.2,89.28,96.48
王濛,1,00:01:29.3,00:01:31.0,1.8,89.28,91.04
李小冉,5,00:01:31.0,00:01:36.5,5.4,91.04,96.48
孙怡,2,00:02:11.0,00:02:24.6,13.6,131.04,144.64
江语晨,7,00:02:11.0,00:02:16.3,5.3,131.04,136.32
范玮琪,1,00:02:11.0,00:02:16.3,5.3,131.04,136.32
江语晨,8,00:02:20.3,00:02:28.2,7.8,140.32,148.16
范玮琪,2,00:02:20.3,00:02:28.2,7.8,140.32,148.16
何宣林,2,00:02:28.2,00:02:29.4,1.3,148.16,149.44
孙怡,3,00:02:54.9,00:02:57.1,2.2,174.88,177.12
孙怡,4,00:02:57.8,00:03:00.8,3.0,177.76,180.8
范玮琪,3,00:02:58.6,00:03:00.8,2.2,178.56,180.8
江语晨,9,00:03:00.8,00:03:13.1,12.3,180.8,193.12
孙怡,5,00:03:14.7,00:03:16.2,1.4,194.72,196.16
范玮琪,4,00:03:15.8,00:03:16.2,0.3,195.84,196.16
江语晨,10,00:03:16.2,00:03:18.4,2.2,196.16,198.4
江语晨,11,00:03:20.0,00:03:21.9,1.9,200.0,201.92
江语晨,12,00:03:22.6,00:03:24.3,1.8,202.56,204.32
江语晨,13,00:03:24.8,00:03:26.2,1.4,204.8,206.24
