guest,segment,start_hms,end_hms,duration_s,start_sec,end_sec
何宣林,1,00:00:29.9,00:00:32.0,2.1,29.92,32.0
叶一茜,1,00:00:29.9,00:00:35.2,5.3,29.92,35.2
徐洁儿,1,00:00:29.9,00:00:30.4,0.5,29.92,30.4
范玮琪,1,00:00:29.9,00:00:30.9,1.0,29.92,30.88
淡淡,1,00:00:30.1,00:00:30.4,0.3,30.08,30.4
淡淡,2,00:00:30.7,00:00:31.2,0.5,30.72,31.2
范玮琪,2,00:00:31.4,00:00:31.5,0.2,31.36,31.52
范玮琪,3,00:00:31.7,00:00:36.5,4.8,31.68,36.48
代斯,1,00:00:32.0,00:00:33.9,1.9,32.0,33.92
徐洁儿,2,00:00:32.0,00:00:33.9,1.9,32.0,33.92
淡淡,3,00:00:33.0,00:00:33.9,1.0,32.96,33.92
何宣林,2,00:00:33.9,00:00:35.2,1.3,33.92,35.2
庄法,1,00:00:33.9,00:00:35.2,1.3,33.92,35.2
代斯,2,00:00:35.2,00:00:36.5,1.3,35.2,36.48
徐洁儿,3,00:00:35.2,00:00:36.5,1.3,35.2,36.48
叶一茜,2,00:00:39.0,00:00:40.2,1.1,39.04,40.16
淡淡,4,00:00:39.2,00:00:40.2,1.0,39.2,40.16
代斯,3,00:00:40.2,00:00:40.6,0.5,40.16,40.64
何宣林,3,00:00:40.2,00:00:41.8,1.6,40.16,41.76
安崎,1,00:00:40.2,00:00:41.3,1.1,40.16,41.28
庄法,2,00:00:40.2,00:00:40.8,0.6,40.16,40.8
徐洁儿,4,00:00:40.2,00:00:40.6,0.5,40.16,40.64
范玮琪,4,00:00:40.2,00:00:40.6,0.5,40.16,40.64
阚清子,1,00:00:40.2,00:00:41.1,1.0,40.16,41.12
徐洁儿,5,00:00:40.8,00:00:41.0,0.2,40.8,40.96
代斯,4,00:00:41.0,00:00:42.2,1.3,40.96,42.24
庄法,3,00:00:41.0,00:00:41.1,0.2,40.96,41.12
范玮琪,5,00:00:41.0,00:00:42.2,1.3,40.96,42.24
徐洁儿,6,00:00:41.1,00:00:42.2,1.1,41.12,42.24
庄法,4,00:00:41.3,00:00:42.2,1.0,41.28,42.24
阚清子,2,00:00:41.6,00:00:42.1,0.5,41.6,42.08
何宣林,4,00:00:41.9,00:00:42.2,0.3,41.92,42.24
徐梦洁,1,00:00:42.2,00:00:43.7,1.4,42.24,43.68
谢楠,1,00:00:42.2,00:00:46.1,3.8,42.24,46.08
徐梦洁,2,00:00:44.2,00:00:45.4,1.3,44.16,45.44
徐梦洁,3,00:00:45.6,00:00:45.9,0.3,45.6,45.92
曾佩慈,1,00:00:46.1,00:00:47.4,1.3,46.08,47.36
曾佩慈,2,00:00:47.8,00:00:48.0,0.2,47.84,48.0
徐梦洁,4,00:00:48.0,00:00:50.2,2.2,48.0,50.24
谢楠,2,00:00:48.0,00:00:50.2,2.2,48.0,50.24
徐洁儿,7,00:00:50.2,00:01:00.5,10.2,50.24,60.48
陈凯琳,1,00:00:50.2,00:00:53.1,2.9,50.24,53.12
黄灿灿,1,00:00:51.0,00:00:53.6,2.6,51.04,53.6
张月,1,00:00:52.0,00:00:53.6,1.6,52.0,53.6
陈凯琳,2,00:00:53.4,00:00:54.7,1.3,53.44,54.72
唐艺昕,1,00:00:53.6,00:00:54.7,1.1,53.6,54.72
李小冉,1,00:00:53.6,00:00:54.7,1.1,53.6,54.72
黄灿灿,2,00:00:54.7,00:00:55.5,0.8,54.72,55.52
张月,2,00:00:55.4,00:00:55.5,0.2,55.36,55.52
唐艺昕,2,00:00:57.9,00:00:58.4,0.5,57.92,58.4
王濛,1,00:00:57.9,00:00:58.9,1.0,57.92,58.88
唐艺昕,3,00:00:59.5,00:01:00.8,1.3,59.52,60.8
王濛,2,00:00:59.7,00:01:00.3,0.6,59.68,60.32
李小冉,2,00:01:00.0,00:01:00.3,0.3,60.0,60.32
李心洁,1,00:01:00.5,00:01:00.6,0.2,60.48,60.64
王濛,3,00:01:00.5,00:01:00.8,0.3,60.48,60.8
徐洁儿,8,00:01:00.8,00:01:07.0,6.2,60.8,67.04
陈凯琳,3,00:01:02.9,00:01:03.8,1.0,62.88,63.84
黄灿灿,3,00:01:02.9,00:01:05.1,2.2,62.88,65.12
陈凯琳,4,00:01:04.5,00:01:04.8,0.3,64.48,64.8
张月,3,00:01:05.1,00:01:07.0,1.9,65.12,67.04
陈凯琳,5,00:01:05.1,00:01:06.1,1.0,65.12,66.08
徐梦洁,5,00:01:07.0,00:01:13.9,6.9,67.04,73.92
唐艺昕,4,00:01:13.9,00:01:20.3,6.4,73.92,80.32
淡淡,5,00:01:13.9,00:01:16.8,2.9,73.92,76.8
李小冉,3,00:01:16.8,00:01:24.5,7.7,76.8,84.48
陈瑶,1,00:01:16.8,00:01:22.6,5.8,76.8,82.56
唐艺昕,5,00:01:20.8,00:01:22.6,1.8,80.8,82.56
唐艺昕,6,00:01:24.5,00:01:25.9,1.4,84.48,85.92
淡淡,6,00:01:24.5,00:01:25.9,1.4,84.48,85.92
李小冉,4,00:01:25.9,00:01:29.1,3.2,85.92,89.12
陈瑶,2,00:01:25.9,00:01:29.1,3.2,85.92,89.12
孙怡,1,00:01:58.6,00:02:00.2,1.6,118.56,120.16
范玮琪,6,00:01:58.6,00:02:12.8,14.2,118.56,132.8
孙怡,2,00:02:01.6,00:02:09.1,7.5,121.6,129.12
何宣林,5,00:02:09.1,00:02:12.8,3.7,129.12,132.8
孙怡,3,00:02:12.8,00:02:15.5,2.7,132.8,135.52
何宣林,6,00:02:15.5,00:02:20.2,4.6,135.52,140.16
范玮琪,7,00:02:15.5,00:02:22.7,7.2,135.52,142.72
孙怡,4,00:02:20.2,00:02:22.6,2.4,140.16,142.56
江语晨,1,00:02:20.2,00:02:22.7,2.6,140.16,142.72
孙怡,5,00:02:22.7,00:02:30.6,7.8,142.72,150.56
江语晨,2,00:02:30.6,00:02:37.8,7.2,150.56,157.76
范玮琪,8,00:02:30.6,00:02:36.3,5.8,150.56,156.32
范玮琪,9,00:02:36.8,00:02:37.3,0.5,156.8,157.28
范玮琪,10,00:02:38.1,00:02:38.7,0.6,158.08,158.72
范玮琪,11,00:02:40.0,00:02:43.8,3.8,160.0,163.84
何宣林,7,00:02:46.7,00:02:52.0,5.3,166.72,172.0
孙怡,6,00:02:50.2,00:03:05.6,15.4,170.24,185.6
范玮琪,12,00:02:52.0,00:03:05.6,13.6,172.0,185.6
江语晨,3,00:03:01.0,00:03:01.8,0.8,180.96,181.76
何宣林,8,00:03:07.8,00:03:16.5,8.6,187.84,196.48
孙怡,7,00:03:07.8,00:03:25.8,17.9,187.84,205.76
江语晨,4,00:03:07.8,00:03:08.3,0.5,187.84,188.32
范玮琪,13,00:03:07.8,00:03:16.5,8.6,187.84,196.48
阚清子,3,00:03:07.8,00:03:09.8,1.9,187.84,189.76
江语晨,5,00:03:09.0,00:03:15.8,6.9,188.96,195.84
江语晨,6,00:03:16.0,00:03:39.2,23.2,196.0,219.2
阚清子,4,00:03:16.5,00:03:18.9,2.4,196.48,198.88
阚清子,5,00:03:19.0,00:03:20.0,1.0,199.04,200.0
阚清子,6,00:03:20.2,00:03:21.6,1.4,200.16,201.6
阚清子,7,00:03:21.8,00:03:47.4,25.6,201.76,227.36
何宣林,9,00:03:22.4,00:03:30.1,7.7,202.4,210.08
范玮琪,14,00:03:22.4,00:03:30.1,7.7,202.4,210.08
孙怡,8,00:03:26.2,00:03:26.6,0.3,206.24,206.56
