guest,sampled_frames,seconds
张月,6162,985.9
王濛,5476,876.2
安崎,5183,829.3
唐艺昕,5127,820.3
曾佩慈,5123,819.7
徐洁儿,3318,530.9
乌兰图雅,3156,505.0
李心洁,3071,491.4
李小冉,2825,452.0
淡淡,2759,441.4
陈瑶,2734,437.4
萧蔷,2636,421.8
徐梦洁,2620,419.2
孙怡,2521,403.4
谢楠,2398,383.7
万千惠,2190,350.4
叶一茜,2078,332.5
阚清子,2076,332.2
黄灿灿,1945,311.2
陈凯琳,1881,301.0
庄法,1680,268.8
何宣林,1596,255.4
张慧雯,1511,241.8
温峥嵘,1489,238.2
范玮琪,1430,228.8
江语晨,1333,213.3
代斯,1095,175.2
