guest,segment,start_hms,end_hms,duration_s,start_sec,end_sec
王濛,1,00:00:25.1,00:00:30.1,5.0,25.12,30.08
黄灿灿,1,00:01:17.4,00:01:18.4,1.0,77.44,78.4
黄灿灿,2,00:01:19.7,00:01:20.3,0.6,79.68,80.32
万千惠,1,00:01:24.2,00:01:24.8,0.6,84.16,84.8
张慧雯,1,00:01:24.2,00:01:24.8,0.6,84.16,84.8
曾佩慈,1,00:01:24.2,00:01:24.8,0.6,84.16,84.8
谢楠,1,00:01:24.2,00:01:24.8,0.6,84.16,84.8
代斯,1,00:01:24.8,00:01:25.6,0.8,84.8,85.6
温峥嵘,1,00:01:24.8,00:01:25.6,0.8,84.8,85.6
唐艺昕,1,00:01:25.6,00:01:26.2,0.6,85.6,86.24
李小冉,1,00:01:25.6,00:01:26.2,0.6,85.6,86.24
王濛,2,00:01:25.6,00:01:26.2,0.6,85.6,86.24
张月,1,00:01:26.2,00:01:26.9,0.6,86.24,86.88
徐洁儿,1,00:01:26.2,00:01:26.9,0.6,86.24,86.88
陈凯琳,1,00:01:26.2,00:01:26.9,0.6,86.24,86.88
安崎,1,00:01:26.9,00:01:27.5,0.6,86.88,87.52
庄法,1,00:01:26.9,00:01:27.5,0.6,86.88,87.52
孙怡,1,00:01:27.5,00:01:28.3,0.8,87.52,88.32
范玮琪,1,00:01:27.5,00:01:28.3,0.8,87.52,88.32
阚清子,1,00:01:27.5,00:01:28.3,0.8,87.52,88.32
乌兰图雅,1,00:01:49.3,00:01:52.3,3.0,109.28,112.32
叶一茜,1,00:01:49.3,00:01:52.3,3.0,109.28,112.32
安崎,2,00:01:52.3,00:01:54.6,2.2,112.32,114.56
庄法,2,00:01:52.3,00:01:54.6,2.2,112.32,114.56
李心洁,1,00:01:54.6,00:01:57.0,2.4,114.56,116.96
安崎,3,00:01:57.0,00:01:58.4,1.4,116.96,118.4
庄法,3,00:01:57.0,00:01:58.4,1.4,116.96,118.4
李心洁,2,00:01:58.4,00:02:01.0,2.6,118.4,120.96
乌兰图雅,2,00:02:01.0,00:02:06.6,5.6,120.96,126.56
叶一茜,2,00:02:01.0,00:02:09.1,8.2,120.96,129.12
安崎,4,00:02:06.6,00:02:17.3,10.7,126.56,137.28
庄法,4,00:02:06.6,00:02:17.3,10.7,126.56,137.28
叶一茜,3,00:02:12.8,00:02:17.3,4.5,132.8,137.28
乌兰图雅,3,00:02:17.3,00:02:18.6,1.3,137.28,138.56
安崎,5,00:02:18.6,00:02:20.0,1.4,138.56,140.0
庄法,5,00:02:18.6,00:02:20.0,1.4,138.56,140.0
乌兰图雅,4,00:02:20.0,00:02:24.6,4.6,140.0,144.64
温峥嵘,2,00:02:27.0,00:02:29.9,2.9,147.04,149.92
温峥嵘,3,00:02:30.2,00:02:30.9,0.6,150.24,150.88
代斯,2,00:02:30.4,00:02:34.2,3.8,150.4,154.24
黄灿灿,3,00:02:30.4,00:02:32.6,2.2,150.4,152.64
温峥嵘,4,00:02:31.5,00:02:32.6,1.1,151.52,152.64
黄灿灿,4,00:02:34.2,00:02:35.2,1.0,154.24,155.2
代斯,3,00:02:35.2,00:02:36.8,1.6,155.2,156.8
温峥嵘,5,00:02:35.2,00:02:38.9,3.7,155.2,158.88
萧蔷,1,00:02:38.9,00:02:41.4,2.6,158.88,161.44
萧蔷,2,00:02:42.9,00:02:50.2,7.4,162.88,170.24
黄灿灿,5,00:02:42.9,00:02:44.6,1.8,162.88,164.64
代斯,4,00:02:44.6,00:02:53.9,9.3,164.64,173.92
温峥嵘,6,00:02:44.6,00:02:50.2,5.6,164.64,170.24
萧蔷,3,00:02:56.3,00:02:57.6,1.3,176.32,177.6
温峥嵘,7,00:02:56.8,00:03:15.0,18.2,176.8,195.04
萧蔷,4,00:02:57.9,00:02:58.2,0.3,177.92,178.24
萧蔷,5,00:02:58.6,00:02:59.2,0.6,178.56,179.2
萧蔷,6,00:03:13.9,00:03:16.0,2.1,193.92,196.0
温峥嵘,8,00:03:16.0,00:03:22.4,6.4,196.0,202.4
代斯,5,00:03:17.6,00:03:19.7,2.1,197.6,199.68
萧蔷,7,00:03:19.7,00:03:22.4,2.7,199.68,202.4
代斯,6,00:03:27.8,00:03:32.6,4.8,207.84,212.64
温峥嵘,9,00:03:29.4,00:03:29.9,0.5,209.44,209.92
温峥嵘,10,00:03:31.5,00:03:32.8,1.3,211.52,212.8
代斯,7,00:03:32.8,00:03:37.9,5.1,212.8,217.92
温峥嵘,11,00:03:39.7,00:03:41.8,2.1,219.68,221.76
温峥嵘,12,00:03:42.4,00:03:42.6,0.2,222.4,222.56
温峥嵘,13,00:03:43.0,00:03:49.6,6.6,223.04,229.6
代斯,8,00:03:49.6,00:03:56.6,7.0,229.6,236.64
何宣林,1,00:03:56.6,00:03:59.2,2.6,236.64,239.2
孙怡,2,00:03:56.6,00:04:02.2,5.6,236.64,242.24
江语晨,1,00:03:56.6,00:04:00.6,4.0,236.64,240.64
范玮琪,2,00:03:56.6,00:04:00.6,4.0,236.64,240.64
阚清子,2,00:03:56.6,00:04:00.6,4.0,236.64,240.64
何宣林,2,00:03:59.8,00:04:00.6,0.8,239.84,240.64
范玮琪,3,00:04:02.2,00:04:04.2,1.9,242.24,244.16
孙怡,3,00:04:04.2,00:04:08.3,4.2,244.16,248.32
何宣林,3,00:04:06.2,00:04:09.3,3.0,246.24,249.28
范玮琪,4,00:04:06.2,00:04:08.3,2.1,246.24,248.32
阚清子,3,00:04:06.2,00:04:08.3,2.1,246.24,248.32
江语晨,2,00:04:08.3,00:04:09.3,1.0,248.32,249.28
孙怡,4,00:04:09.3,00:04:11.0,1.8,249.28,251.04
范玮琪,5,00:04:11.0,00:04:17.8,6.7,251.04,257.76
何宣林,4,00:04:14.7,00:04:17.8,3.0,254.72,257.76
孙怡,5,00:04:14.7,00:04:17.8,3.0,254.72,257.76
江语晨,3,00:04:14.7,00:04:17.8,3.0,254.72,257.76
阚清子,4,00:04:14.7,00:04:21.9,7.2,254.72,261.92
何宣林,5,00:04:20.8,00:04:30.2,9.4,260.8,270.24
孙怡,6,00:04:25.6,00:04:34.1,8.5,265.6,274.08
江语晨,4,00:04:25.6,00:04:30.2,4.6,265.6,270.24
范玮琪,6,00:04:25.6,00:04:30.2,4.6,265.6,270.24
阚清子,5,00:04:25.6,00:04:30.2,4.6,265.6,270.24
何宣林,6,00:04:34.1,00:04:37.9,3.8,274.08,277.92
孙怡,7,00:04:37.0,00:04:37.9,1.0,276.96,277.92
江语晨,5,00:04:37.0,00:04:42.9,5.9,276.96,282.88
阚清子,6,00:04:37.0,00:04:37.9,1.0,276.96,277.92
何宣林,7,00:04:43.5,00:04:47.5,4.0,283.52,287.52
江语晨,6,00:04:45.0,00:04:47.5,2.6,284.96,287.52
范玮琪,7,00:04:45.0,00:04:52.8,7.8,284.96,292.8
阚清子,7,00:04:45.0,00:04:47.5,2.6,284.96,287.52
孙怡,8,00:04:47.5,00:04:52.8,5.3,287.52,292.8
阚清子,8,00:04:48.3,00:04:48.5,0.2,288.32,288.48
阚清子,9,00:04:49.0,00:04:50.4,1.4,288.96,290.4
阚清子,10,00:04:50.6,00:04:50.7,0.2,290.56,290.72
阚清子,11,00:04:51.0,00:04:51.4,0.3,291.04,291.36
江语晨,7,00:04:52.8,00:04:57.0,4.2,292.8,296.96
阚清子,12,00:04:57.0,00:05:01.0,4.0,296.96,300.96
孙怡,9,00:05:00.2,00:05:04.6,4.5,300.16,304.64
范玮琪,8,00:05:00.2,00:05:04.6,4.5,300.16,304.64
阚清子,13,00:05:01.1,00:05:02.1,1.0,301.12,302.08
阚清子,14,00:05:02.6,00:05:03.4,0.8,302.56,303.36
阚清子,15,00:05:03.5,00:05:13.4,9.9,303.52,313.44
