guest,segment,start_hms,end_hms,duration_s,start_sec,end_sec
王濛,1,00:00:25.1,00:00:30.1,5.0,25.12,30.08
代斯,1,00:01:57.3,00:01:57.8,0.5,117.28,117.76
何宣林,1,00:01:57.3,00:01:58.6,1.3,117.28,118.56
代斯,2,00:01:58.4,00:01:59.4,1.0,118.4,119.36
代斯,3,00:02:06.1,00:02:10.7,4.6,126.08,130.72
何宣林,2,00:02:06.1,00:02:10.7,4.6,126.08,130.72
范玮琪,1,00:02:06.1,00:02:10.7,4.6,126.08,130.72
代斯,4,00:02:14.6,00:02:19.5,5.0,134.56,139.52
徐梦洁,1,00:02:14.6,00:02:19.5,5.0,134.56,139.52
李小冉,1,00:02:14.7,00:02:25.1,10.4,134.72,145.12
王濛,2,00:02:16.6,00:02:27.4,10.7,136.64,147.36
代斯,5,00:02:23.5,00:02:24.3,0.8,143.52,144.32
张慧雯,1,00:02:23.5,00:02:27.4,3.8,143.52,147.36
张月,1,00:02:23.5,00:02:26.9,3.4,143.52,146.88
陈瑶,1,00:02:23.5,00:02:27.4,3.8,143.52,147.36
徐梦洁,2,00:02:24.2,00:02:27.4,3.2,144.16,147.36
代斯,6,00:02:24.8,00:02:27.0,2.2,144.8,147.04
李小冉,2,00:02:27.0,00:02:27.4,0.3,147.04,147.36
代斯,7,00:02:30.1,00:02:37.1,7.0,150.08,157.12
张慧雯,2,00:02:30.1,00:02:37.1,7.0,150.08,157.12
张月,2,00:02:30.1,00:02:33.3,3.2,150.08,153.28
徐梦洁,3,00:02:30.1,00:02:37.1,7.0,150.08,157.12
陈瑶,2,00:02:30.1,00:02:31.7,1.6,150.08,151.68
陈瑶,3,00:02:32.3,00:02:33.1,0.8,152.32,153.12
陈瑶,4,00:02:33.3,00:02:37.1,3.8,153.28,157.12
张月,3,00:02:35.7,00:02:37.1,1.4,155.68,157.12
张月,4,00:02:39.5,00:02:39.7,0.2,159.52,159.68
王濛,3,00:02:39.5,00:02:44.5,5.0,159.52,164.48
陈瑶,5,00:02:39.5,00:02:44.5,5.0,159.52,164.48
代斯,8,00:02:39.7,00:02:44.5,4.8,159.68,164.48
徐梦洁,4,00:02:39.7,00:02:39.8,0.2,159.68,159.84
张月,5,00:02:40.0,00:02:40.2,0.2,160.0,160.16
张慧雯,3,00:02:40.3,00:02:41.4,1.1,160.32,161.44
徐梦洁,5,00:02:40.3,00:02:44.5,4.2,160.32,164.48
张月,6,00:02:41.4,00:02:44.5,3.0,161.44,164.48
李小冉,3,00:02:42.4,00:02:43.7,1.3,162.4,163.68
曾佩慈,1,00:02:44.5,00:02:47.4,2.9,164.48,167.36
万千惠,1,00:02:49.9,00:02:52.5,2.6,169.92,172.48
乌兰图雅,1,00:02:49.9,00:02:52.5,2.6,169.92,172.48
代斯,9,00:02:52.5,00:02:53.0,0.5,172.48,172.96
唐艺昕,1,00:02:52.5,00:02:58.1,5.6,172.48,178.08
孙怡,1,00:02:52.5,00:02:53.6,1.1,172.48,173.6
张慧雯,4,00:02:52.5,00:02:53.3,0.8,172.48,173.28
张月,7,00:02:52.5,00:02:53.4,1.0,172.48,173.44
徐梦洁,6,00:02:52.5,00:02:52.8,0.3,172.48,172.8
李小冉,4,00:02:52.5,00:02:58.1,5.6,172.48,178.08
李心洁,1,00:02:52.5,00:02:53.6,1.1,172.48,173.6
谢楠,1,00:02:52.5,00:02:53.9,1.4,172.48,173.92
陈凯琳,1,00:02:52.5,00:02:53.1,0.6,172.48,173.12
陈瑶,6,00:02:52.5,00:02:53.0,0.5,172.48,172.96
黄灿灿,1,00:02:52.5,00:02:56.6,4.2,172.48,176.64
代斯,10,00:02:53.1,00:02:55.8,2.7,173.12,175.84
陈瑶,7,00:02:53.3,00:02:54.7,1.4,173.28,174.72
张慧雯,5,00:02:53.4,00:02:56.2,2.7,173.44,176.16
张月,8,00:02:53.6,00:02:55.0,1.4,173.6,175.04
陈凯琳,2,00:02:53.6,00:02:54.2,0.6,173.6,174.24
孙怡,2,00:02:53.8,00:02:55.7,1.9,173.76,175.68
陈凯琳,3,00:02:54.6,00:02:58.1,3.5,174.56,178.08
陈瑶,8,00:02:55.4,00:02:55.5,0.2,175.36,175.52
孙怡,3,00:02:56.0,00:02:58.1,2.1,176.0,178.08
代斯,11,00:02:56.3,00:02:56.8,0.5,176.32,176.8
张月,9,00:02:56.3,00:02:58.1,1.8,176.32,178.08
张慧雯,6,00:02:56.5,00:02:58.1,1.6,176.48,178.08
陈瑶,9,00:02:56.8,00:02:58.1,1.3,176.8,178.08
黄灿灿,2,00:02:56.8,00:02:58.1,1.3,176.8,178.08
代斯,12,00:02:57.8,00:02:58.1,0.3,177.76,178.08
曾佩慈,2,00:02:59.8,00:03:01.8,1.9,179.84,181.76
江语晨,1,00:02:59.8,00:03:01.8,1.9,179.84,181.76
范玮琪,2,00:03:01.8,00:03:07.2,5.4,181.76,187.2
温峥嵘,1,00:03:03.8,00:03:07.2,3.4,183.84,187.2
安崎,1,00:03:04.0,00:03:04.6,0.6,184.0,184.64
庄法,1,00:03:05.3,00:03:06.1,0.8,185.28,186.08
曾佩慈,3,00:03:07.2,00:03:13.4,6.2,187.2,193.44
江语晨,2,00:03:07.2,00:03:13.4,6.2,187.2,193.44
淡淡,1,00:03:07.2,00:03:08.6,1.4,187.2,188.64
淡淡,2,00:03:10.6,00:03:13.0,2.4,190.56,192.96
何宣林,3,00:03:11.7,00:03:12.2,0.5,191.68,192.16
安崎,2,00:03:11.7,00:03:13.4,1.8,191.68,193.44
庄法,2,00:03:11.7,00:03:12.2,0.5,191.68,192.16
萧蔷,1,00:03:11.7,00:03:13.4,1.8,191.68,193.44
何宣林,4,00:03:12.3,00:03:15.8,3.5,192.32,195.84
庄法,3,00:03:12.8,00:03:13.3,0.5,192.8,193.28
淡淡,3,00:03:13.3,00:03:24.6,11.4,193.28,204.64
谢楠,2,00:03:14.7,00:03:20.3,5.6,194.72,200.32
江语晨,3,00:03:15.2,00:03:23.0,7.8,195.2,203.04
何宣林,5,00:03:17.6,00:03:17.9,0.3,197.6,197.92
何宣林,6,00:03:18.6,00:03:20.8,2.2,198.56,200.8
谢楠,3,00:03:23.2,00:03:24.6,1.4,203.2,204.64
江语晨,4,00:03:24.5,00:03:24.6,0.2,204.48,204.64
万千惠,2,00:03:29.4,00:03:30.9,1.4,209.44,210.88
乌兰图雅,2,00:03:29.4,00:03:30.9,1.4,209.44,210.88
何宣林,7,00:03:29.4,00:03:30.9,1.4,209.44,210.88
叶一茜,1,00:03:29.4,00:03:30.9,1.4,209.44,210.88
庄法,4,00:03:29.4,00:03:30.9,1.4,209.44,210.88
曾佩慈,4,00:03:29.4,00:03:30.9,1.4,209.44,210.88
江语晨,5,00:03:29.4,00:03:30.9,1.4,209.44,210.88
淡淡,4,00:03:29.4,00:03:30.9,1.4,209.44,210.88
范玮琪,3,00:03:29.4,00:03:30.9,1.4,209.44,210.88
阚清子,1,00:03:29.4,00:03:30.9,1.4,209.44,210.88
代斯,13,00:03:33.1,00:03:34.7,1.6,213.12,214.72
唐艺昕,2,00:03:33.1,00:03:35.4,2.2,213.12,215.36
孙怡,4,00:03:33.1,00:03:35.8,2.7,213.12,215.84
张慧雯,7,00:03:33.1,00:03:35.0,1.9,213.12,215.04
张月,10,00:03:33.1,00:03:34.2,1.1,213.12,214.24
徐梦洁,7,00:03:33.1,00:03:35.0,1.9,213.12,215.04
李小冉,5,00:03:33.1,00:03:36.6,3.5,213.12,216.64
王濛,4,00:03:33.1,00:03:36.0,2.9,213.12,216.0
陈瑶,10,00:03:33.1,00:03:34.4,1.3,213.12,214.4
黄灿灿,3,00:03:33.1,00:03:36.0,2.9,213.12,216.0
张月,11,00:03:34.4,00:03:36.0,1.6,214.4,216.0
陈瑶,11,00:03:34.6,00:03:36.0,1.4,214.56,216.0
代斯,14,00:03:34.9,00:03:37.8,2.9,214.88,217.76
徐梦洁,8,00:03:35.2,00:03:37.3,2.1,215.2,217.28
唐艺昕,3,00:03:35.7,00:03:35.8,0.2,215.68,215.84
唐艺昕,4,00:03:36.0,00:03:36.8,0.8,216.0,216.8
陈瑶,12,00:03:36.6,00:03:38.2,1.6,216.64,218.24
王濛,5,00:03:36.8,00:03:37.4,0.6,216.8,217.44
李小冉,6,00:03:37.3,00:03:37.8,0.5,217.28,217.76
唐艺昕,5,00:03:37.4,00:03:38.2,0.8,217.44,218.24
张月,12,00:03:37.4,00:03:38.6,1.1,217.44,218.56
徐梦洁,9,00:03:37.6,00:03:38.4,0.8,217.6,218.4
代斯,15,00:03:38.1,00:03:38.7,0.6,218.08,218.72
陈瑶,13,00:03:38.4,00:03:38.7,0.3,218.4,218.72
李心洁,2,00:03:38.6,00:03:38.7,0.2,218.56,218.72
万千惠,3,00:03:41.3,00:03:41.4,0.2,221.28,221.44
叶一茜,2,00:03:41.3,00:03:42.1,0.8,221.28,222.08
曾佩慈,5,00:03:41.3,00:03:42.1,0.8,221.28,222.08
温峥嵘,2,00:03:41.3,00:03:42.2,1.0,221.28,222.24
范玮琪,4,00:03:41.3,00:03:43.0,1.8,221.28,223.04
阚清子,2,00:03:41.4,00:03:41.8,0.3,221.44,221.76
万千惠,4,00:03:41.9,00:03:44.0,2.1,221.92,224.0
阚清子,3,00:03:42.2,00:03:43.8,1.6,222.24,223.84
谢楠,4,00:03:44.0,00:03:44.5,0.5,224.0,224.48
陈凯琳,4,00:03:44.0,00:03:44.2,0.2,224.0,224.16
陈凯琳,5,00:03:44.6,00:03:45.9,1.3,224.64,225.92
