guest,sampled_frames,seconds
王濛,5075,812.0
李小冉,4323,691.7
徐梦洁,3590,574.4
张月,3322,531.5
孙怡,3307,529.1
张慧雯,3130,500.8
唐艺昕,3028,484.5
黄灿灿,2956,473.0
乌兰图雅,2891,462.6
陈瑶,2880,460.8
曾佩慈,2868,458.9
温峥嵘,2716,434.6
江语晨,2378,380.5
李心洁,2354,376.6
代斯,2334,373.4
谢楠,2219,355.0
万千惠,2185,349.6
阚清子,2129,340.6
徐洁儿,2058,329.3
庄法,1977,316.3
淡淡,1898,303.7
安崎,1828,292.5
范玮琪,1771,283.4
叶一茜,1691,270.6
陈凯琳,1683,269.3
何宣林,1394,223.0
萧蔷,234,37.4
