guest,sampled_frames,seconds
曾佩慈,4038,646.1
李小冉,3669,587.0
唐艺昕,3305,528.8
王濛,3100,496.0
万千惠,3049,487.8
淡淡,2998,479.7
张慧雯,2987,477.9
陈瑶,2983,477.3
孙怡,2529,404.6
谢楠,2514,402.2
阚清子,2481,397.0
黄灿灿,2452,392.3
徐洁儿,2344,375.0
萧蔷,2275,364.0
代斯,2238,358.1
张月,2207,353.1
徐梦洁,2191,350.6
乌兰图雅,2187,349.9
陈凯琳,2182,349.1
温峥嵘,2139,342.2
安崎,2095,335.2
庄法,2042,326.7
叶一茜,2038,326.1
何宣林,1963,314.1
范玮琪,1919,307.0
江语晨,1865,298.4
李心洁,1843,294.9
