guest,sampled_frames,seconds
张月,3269,523.0
孙怡,2989,478.2
安崎,2714,434.2
曾佩慈,2504,400.6
江语晨,2447,391.5
黄灿灿,2445,391.2
徐洁儿,2313,370.1
萧蔷,2243,358.9
陈瑶,2167,346.7
徐梦洁,2107,337.1
张慧雯,2096,335.4
王濛,2005,320.8
庄法,1817,290.7
阚清子,1798,287.7
淡淡,1617,258.7
范玮琪,1574,251.8
何宣林,1554,248.6
唐艺昕,1519,243.0
谢楠,1419,227.0
万千惠,1227,196.3
温峥嵘,1150,184.0
乌兰图雅,1145,183.2
李小冉,1115,178.4
陈凯琳,1096,175.4
代斯,940,150.4
李心洁,885,141.6
叶一茜,768,122.9
