guest,sampled_frames,seconds
曾佩慈,4824,771.8
张月,4653,744.5
萧蔷,4422,707.5
王濛,4147,663.5
孙怡,3248,519.7
徐梦洁,3238,518.1
安崎,2871,459.4
徐洁儿,2821,451.4
陈瑶,2773,443.7
唐艺昕,2360,377.6
江语晨,2259,361.4
万千惠,2157,345.1
谢楠,2138,342.1
黄灿灿,1857,297.1
阚清子,1827,292.3
张慧雯,1656,265.0
庄法,1537,245.9
代斯,1504,240.6
温峥嵘,1263,202.1
李心洁,1211,193.8
何宣林,1156,185.0
淡淡,1082,173.1
范玮琪,1056,169.0
叶一茜,1012,161.9
陈凯琳,995,159.2
李小冉,930,148.8
乌兰图雅,585,93.6
