guest,sampled_frames,seconds
唐艺昕,3472,555.5
李心洁,3456,553.0
孙怡,3063,490.1
范玮琪,2947,471.5
徐梦洁,2714,434.2
阚清子,2493,398.9
张月,2485,397.6
安崎,2360,377.6
何宣林,2333,373.3
黄灿灿,2318,370.9
庄法,2289,366.2
江语晨,2250,360.0
叶一茜,2244,359.0
谢楠,2218,354.9
陈瑶,2197,351.5
萧蔷,2183,349.3
乌兰图雅,2122,339.5
温峥嵘,2052,328.3
陈凯琳,1953,312.5
淡淡,1920,307.2
曾佩慈,1915,306.4
徐洁儿,1845,295.2
李小冉,1830,292.8
万千惠,1621,259.4
王濛,1619,259.0
张慧雯,1426,228.2
代斯,1390,222.4
