guest,sampled_frames,seconds
安崎,2004,320.6
曾佩慈,1886,301.8
李心洁,1871,299.4
庄法,1839,294.2
淡淡,1596,255.4
王濛,1581,253.0
唐艺昕,1529,244.6
徐梦洁,1526,244.2
徐洁儿,1495,239.2
乌兰图雅,1473,235.7
谢楠,1461,233.8
代斯,1439,230.2
萧蔷,1415,226.4
万千惠,1408,225.3
黄灿灿,1202,192.3
温峥嵘,955,152.8
张月,947,151.5
陈凯琳,891,142.6
范玮琪,830,132.8
李小冉,750,120.0
阚清子,750,120.0
陈瑶,692,110.7
孙怡,500,80.0
叶一茜,462,73.9
江语晨,462,73.9
何宣林,423,67.7
张慧雯,350,56.0
