guest,sampled_frames,seconds
孙怡,6195,991.2
王濛,5790,926.4
安崎,5222,835.5
张月,5199,831.8
曾佩慈,4581,733.0
李心洁,3996,639.4
唐艺昕,3746,599.4
萧蔷,3651,584.2
李小冉,3616,578.6
陈瑶,3495,559.2
徐洁儿,3093,494.9
叶一茜,3081,493.0
乌兰图雅,2609,417.4
范玮琪,2554,408.6
谢楠,2443,390.9
陈凯琳,2427,388.3
淡淡,2349,375.8
徐梦洁,2313,370.1
黄灿灿,2160,345.6
阚清子,2066,330.6
庄法,1812,289.9
张慧雯,1595,255.2
温峥嵘,1524,243.8
万千惠,1368,218.9
江语晨,1363,218.1
代斯,1352,216.3
何宣林,1198,191.7
