guest,sampled_frames,seconds
王濛,2563,410.1
唐艺昕,2333,373.3
黄灿灿,2288,366.1
张月,2274,363.8
李心洁,2151,344.2
曾佩慈,1880,300.8
徐梦洁,1838,294.1
徐洁儿,1792,286.7
李小冉,1766,282.6
淡淡,1508,241.3
陈凯琳,1440,230.4
叶一茜,1109,177.4
阚清子,1085,173.6
陈瑶,1057,169.1
孙怡,1054,168.6
乌兰图雅,1014,162.2
范玮琪,993,158.9
万千惠,915,146.4
温峥嵘,781,125.0
江语晨,758,121.3
萧蔷,670,107.2
何宣林,657,105.1
谢楠,582,93.1
张慧雯,560,89.6
代斯,499,79.8
安崎,494,79.0
庄法,450,72.0
