guest,sampled_frames,seconds
乌兰图雅,2876,460.2
范玮琪,2874,459.8
唐艺昕,2840,454.4
叶一茜,2711,433.8
李小冉,2680,428.8
黄灿灿,2349,375.8
何宣林,2337,373.9
阚清子,2171,347.4
陈凯琳,2125,340.0
万千惠,2059,329.4
李心洁,1881,301.0
王濛,1626,260.2
曾佩慈,1562,249.9
谢楠,1508,241.3
徐洁儿,1466,234.6
徐梦洁,1350,216.0
张月,1306,209.0
陈瑶,1160,185.6
孙怡,1126,180.2
江语晨,1082,173.1
淡淡,1042,166.7
庄法,871,139.4
温峥嵘,822,131.5
安崎,811,129.8
张慧雯,725,116.0
代斯,669,107.0
萧蔷,604,96.6
