guest,segment,start_hms,end_hms,duration_s,start_sec,end_sec
王濛,1,00:00:25.1,00:00:30.1,5.0,25.12,30.08
何宣林,1,00:01:15.4,00:01:23.2,7.8,75.36,83.2
徐梦洁,1,00:01:15.4,00:01:21.9,6.6,75.36,81.92
范玮琪,1,00:01:22.7,00:01:44.6,21.9,82.72,104.64
徐梦洁,2,00:01:31.5,00:01:32.5,1.0,91.52,92.48
徐梦洁,3,00:01:37.6,00:01:37.8,0.2,97.6,97.76
徐梦洁,4,00:01:38.1,00:01:38.6,0.5,98.08,98.56
徐梦洁,5,00:01:38.7,00:01:43.4,4.6,98.72,103.36
江语晨,1,00:01:46.9,00:01:49.0,2.1,106.88,108.96
孙怡,1,00:01:47.2,00:01:47.5,0.3,107.2,107.52
孙怡,2,00:01:47.7,00:01:47.8,0.2,107.68,107.84
徐梦洁,6,00:01:51.2,00:01:56.5,5.3,111.2,116.48
范玮琪,2,00:01:51.2,00:01:59.7,8.5,111.2,119.68
徐梦洁,7,00:01:59.7,00:02:01.4,1.8,119.68,121.44
范玮琪,3,00:02:01.4,00:02:04.0,2.6,121.44,124.0
代斯,1,00:02:05.1,00:02:05.8,0.6,125.12,125.76
张月,1,00:02:05.1,00:02:05.3,0.2,125.12,125.28
张月,2,00:02:07.0,00:02:14.4,7.4,127.04,134.4
代斯,2,00:02:07.4,00:02:12.3,5.0,127.36,132.32
代斯,3,00:02:14.4,00:02:22.6,8.2,134.4,142.56
张月,3,00:02:14.9,00:02:16.3,1.4,134.88,136.32
张月,4,00:02:22.6,00:02:26.1,3.5,142.56,146.08
谢楠,1,00:02:43.2,00:02:46.9,3.7,163.2,166.88
陈瑶,1,00:02:46.9,00:02:48.0,1.1,166.88,168.0
陈瑶,2,00:02:48.2,00:02:50.7,2.6,168.16,170.72
陈瑶,3,00:02:52.2,00:02:56.3,4.2,172.16,176.32
谢楠,2,00:02:56.5,00:02:58.7,2.2,176.48,178.72
陈瑶,4,00:02:59.0,00:02:59.2,0.2,179.04,179.2
陈瑶,5,00:02:59.4,00:03:09.4,10.1,179.36,189.44
陈瑶,6,00:03:12.5,00:03:15.0,2.6,192.48,195.04
陈瑶,7,00:03:15.5,00:03:16.3,0.8,195.52,196.32
谢楠,3,00:03:19.4,00:03:19.8,0.5,199.36,199.84
陈瑶,8,00:03:19.4,00:03:21.0,1.6,199.36,200.96
曾佩慈,1,00:03:21.6,00:03:24.3,2.7,201.6,204.32
曾佩慈,2,00:03:31.7,00:03:33.9,2.2,211.68,213.92
谢楠,4,00:03:31.7,00:03:33.9,2.2,211.68,213.92
陈瑶,9,00:03:31.7,00:03:33.9,2.2,211.68,213.92
黄灿灿,1,00:03:31.7,00:03:33.9,2.2,211.68,213.92
叶一茜,1,00:03:31.8,00:03:33.9,2.1,211.84,213.92
淡淡,1,00:03:37.8,00:03:40.0,2.2,217.76,220.0
陈凯琳,1,00:03:40.3,00:03:40.6,0.3,220.32,220.64
徐洁儿,1,00:03:46.2,00:03:46.6,0.3,226.24,226.56
张慧雯,1,00:03:46.7,00:03:47.2,0.5,226.72,227.2
代斯,4,00:03:47.4,00:03:48.3,1.0,227.36,228.32
温峥嵘,1,00:03:50.7,00:03:51.4,0.6,230.72,231.36
唐艺昕,1,00:04:04.3,00:04:09.3,5.0,244.32,249.28
孙怡,3,00:04:04.3,00:04:09.3,5.0,244.32,249.28
李小冉,1,00:04:14.1,00:04:16.0,1.9,254.08,256.0
孙怡,4,00:04:29.8,00:04:30.2,0.5,269.76,270.24
孙怡,5,00:04:30.7,00:04:37.9,7.2,270.72,277.92
唐艺昕,2,00:04:32.8,00:04:33.1,0.3,272.8,273.12
唐艺昕,3,00:04:37.9,00:04:45.9,8.0,277.92,285.92
范玮琪,4,00:04:37.9,00:04:40.8,2.9,277.92,280.8
范玮琪,5,00:04:45.9,00:04:48.6,2.7,285.92,288.64
孙怡,6,00:04:48.6,00:04:53.8,5.1,288.64,293.76
唐艺昕,4,00:04:51.0,00:04:53.8,2.7,291.04,293.76
范玮琪,6,00:04:51.0,00:04:52.3,1.3,291.04,292.32
范玮琪,7,00:04:52.6,00:04:53.8,1.1,292.64,293.76
江语晨,2,00:04:53.8,00:04:54.9,1.1,293.76,294.88
唐艺昕,5,00:04:54.9,00:05:03.5,8.6,294.88,303.52
唐艺昕,6,00:05:07.5,00:05:08.5,1.0,307.52,308.48
范玮琪,8,00:05:07.5,00:05:15.5,8.0,307.52,315.52
唐艺昕,7,00:05:10.9,00:05:15.5,4.6,310.88,315.52
江语晨,3,00:05:15.5,00:05:19.8,4.3,315.52,319.84
孙怡,7,00:05:16.8,00:05:27.2,10.4,316.8,327.2
范玮琪,9,00:05:19.8,00:05:29.9,10.1,319.84,329.92
江语晨,4,00:05:20.6,00:05:25.1,4.5,320.64,325.12
唐艺昕,8,00:05:21.3,00:05:23.0,1.8,321.28,323.04
唐艺昕,9,00:05:25.0,00:05:25.4,0.5,324.96,325.44
江语晨,5,00:05:25.3,00:05:25.9,0.6,325.28,325.92
唐艺昕,10,00:05:25.8,00:05:25.9,0.2,325.76,325.92
江语晨,6,00:05:26.6,00:05:27.2,0.6,326.56,327.2
唐艺昕,11,00:05:27.2,00:05:29.9,2.7,327.2,329.92
孙怡,8,00:05:30.1,00:05:31.7,1.6,330.08,331.68
唐艺昕,12,00:05:31.5,00:05:31.7,0.2,331.52,331.68
淡淡,2,00:05:31.7,00:05:32.8,1.1,331.68,332.8
唐艺昕,13,00:05:32.8,00:05:37.9,5.1,332.8,337.92
孙怡,9,00:05:32.8,00:05:33.4,0.6,332.8,333.44
孙怡,10,00:05:33.6,00:05:34.2,0.6,333.6,334.24
淡淡,3,00:05:33.6,00:05:33.9,0.3,333.6,333.92
孙怡,11,00:05:34.4,00:05:34.7,0.3,334.4,334.72
淡淡,4,00:05:34.7,00:05:35.2,0.5,334.72,335.2
淡淡,5,00:05:35.4,00:05:36.2,0.8,335.36,336.16
淡淡,6,00:05:36.3,00:05:36.5,0.2,336.32,336.48
淡淡,7,00:05:37.4,00:05:37.6,0.2,337.44,337.6
范玮琪,10,00:05:37.9,00:05:42.1,4.2,337.92,342.08
范玮琪,11,00:05:42.6,00:05:42.7,0.2,342.56,342.72
