guest,sampled_frames,seconds
范玮琪,4146,663.4
唐艺昕,3925,628.0
江语晨,3079,492.6
李小冉,3057,489.1
徐洁儿,2836,453.8
叶一茜,2579,412.6
何宣林,2434,389.4
孙怡,2286,365.8
王濛,2282,365.1
阚清子,1871,299.4
庄法,1697,271.5
陈瑶,1557,249.1
安崎,1453,232.5
曾佩慈,1330,212.8
淡淡,1282,205.1
徐梦洁,1162,185.9
代斯,1117,178.7
张月,1081,173.0
黄灿灿,1035,165.6
李心洁,948,151.7
陈凯琳,939,150.2
乌兰图雅,921,147.4
谢楠,872,139.5
萧蔷,540,86.4
万千惠,533,85.3
张慧雯,40,6.4
温峥嵘,0,0.0
