guest,sampled_frames,seconds
徐洁儿,2295,367.2
张慧雯,2227,356.3
曾佩慈,2046,327.4
叶一茜,2038,326.1
代斯,2000,320.0
陈凯琳,2000,320.0
李心洁,1989,318.2
徐梦洁,1972,315.5
李小冉,1875,300.0
江语晨,1824,291.8
孙怡,1761,281.8
黄灿灿,1710,273.6
谢楠,1602,256.3
淡淡,1372,219.5
唐艺昕,1129,180.6
萧蔷,1118,178.9
庄法,1105,176.8
安崎,1072,171.5
范玮琪,973,155.7
万千惠,967,154.7
阚清子,860,137.6
王濛,784,125.4
何宣林,738,118.1
张月,624,99.8
陈瑶,452,72.3
温峥嵘,239,38.2
乌兰图雅,223,35.7
