guest,sampled_frames,seconds
安崎,2474,395.8
张月,2406,385.0
徐洁儿,2310,369.6
曾佩慈,2237,357.9
庄法,2115,338.4
叶一茜,2111,337.8
萧蔷,2111,337.8
王濛,1896,303.4
温峥嵘,1820,291.2
乌兰图雅,1778,284.5
李小冉,1770,283.2
范玮琪,1674,267.8
李心洁,1633,261.3
陈瑶,1617,258.7
唐艺昕,1583,253.3
阚清子,1580,252.8
淡淡,1421,227.4
何宣林,1354,216.6
谢楠,1246,199.4
孙怡,1233,197.3
代斯,1221,195.4
江语晨,1214,194.2
陈凯琳,1177,188.3
徐梦洁,1138,182.1
万千惠,1019,163.0
张慧雯,893,142.9
黄灿灿,734,117.4
